,movieId,title,genres,key,year,n_ratings,mean_rating
0,0,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,Toy Story,1995,49695,3.921239561324077
1,1,Jumanji,Adventure|Children|Fantasy,Jumanji,1995,22243,3.2119768016904193
2,2,Grumpier Old Men,Comedy|Romance,Grumpier Old Men,1995,12735,3.1510404397330194
3,3,Waiting to Exhale,Comedy|Drama|Romance,Waiting to Exhale,1995,2756,2.8613933236574747
4,4,Father of the Bride Part II,Comedy,Father of the Bride Part II,1995,12161,3.064591727653976
5,5,Heat,Action|Crime|Thriller,Heat (1995),1995,23899,3.8349303318130468
6,6,Sabrina,Comedy|Romance,Sabrina (1995),1995,12961,3.3664840675873777
7,7,Tom and Huck,Adventure|Children,Tom and Huck,1995,1415,3.142049469964664
8,8,Sudden Death,Action,Sudden Death,1995,3960,3.0049242424242424
9,9,GoldenEye,Action|Adventure|Thriller,GoldenEye,1995,29005,3.430029305292191
10,10,The American President,Comedy|Drama|Romance,The American President,1995,18162,3.667712806959586
11,11,Dracula: Dead and Loving It,Comedy|Horror,Dracula: Dead and Loving It,1995,3845,2.6197659297789335
12,12,Balto,Adventure|Animation|Children,Balto,1995,1461,3.272416153319644
13,13,Nixon,Drama,Nixon,1995,6022,3.432082364662903
14,14,Cutthroat Island,Action|Adventure|Romance,Cutthroat Island,1995,2910,2.7219931271477664
15,15,Casino,Crime|Drama,Casino,1995,17394,3.7874554444061173
16,16,Sense and Sensibility,Drama|Romance,Sense and Sensibility,1995,20667,3.9685730875308463
17,17,Four Rooms,Comedy,Four Rooms,1995,5203,3.3736305977320775
18,18,Ace Ventura: When Nature Calls,Comedy,Ace Ventura: When Nature Calls,1995,20938,2.6074123603018435
19,19,Money Train,Action|Comedy|Crime|Drama|Thriller,Money Train,1995,4084,2.8807541625857005
20,20,Get Shorty,Comedy|Crime|Thriller,Get Shorty,1995,24116,3.581688505556477
21,21,Copycat,Crime|Drama|Horror|Mystery|Thriller,Copycat,1995,9928,3.319399677679291
22,22,Assassins,Action|Crime|Thriller,Assassins,1995,4250,3.1482352941176472
23,23,Powder,Drama|Sci-Fi,Powder,1995,7971,3.199849454271735
24,24,Leaving Las Vegas,Drama|Romance,Leaving Las Vegas,1995,21553,3.689509581032803
25,25,Othello,Drama,Othello (1995),1995,2755,3.628856624319419
26,26,Now and Then,Children|Drama,Now and Then,1995,1642,3.413520097442144
27,27,Persuasion,Drama|Romance,Persuasion (1995),1995,3154,4.057545973367152
28,28,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"City of Lost Children, The (Cité des enfants perdus, La)",1995,8520,3.952230046948357
29,29,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,1281,3.633879781420765
30,30,Dangerous Minds,Drama,Dangerous Minds,1995,9435,3.250344462109168
31,31,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,Twelve Monkeys (a.k.a. 12 Monkeys),1995,44980,3.8980546909737663
32,32,Wings of Courage,Adventure|Romance|IMAX,Wings of Courage,1995,65,3.0076923076923077
33,33,Babe,Children|Drama,Babe,1995,32255,3.6430940939389242
34,34,Carrington,Drama|Romance,Carrington,1995,1493,3.5016744809109177
35,35,Dead Man Walking,Crime|Drama,Dead Man Walking,1995,20809,3.9427170935652844
36,36,Across the Sea of Time,Documentary|IMAX,Across the Sea of Time,1995,85,3.0176470588235293
37,37,It Takes Two,Children|Comedy,It Takes Two,1995,552,2.857789855072464
38,38,Clueless,Comedy|Romance,Clueless,1995,26254,3.413632208425383
39,39,"Cry, the Beloved Country",Drama,"Cry, the Beloved Country (1995)",1995,886,3.646726862302483
40,40,Richard III,Drama|War,Richard III (1995),1995,4689,3.8521006611217743
41,41,Dead Presidents,Action|Crime|Drama,Dead Presidents,1995,2467,3.0551276854479124
42,42,Restoration,Drama,Restoration,1995,2552,3.4684561128526648
43,43,Mortal Kombat,Action|Adventure|Fantasy,Mortal Kombat,1995,10697,2.653874918201365
44,44,To Die For,Comedy|Drama|Thriller,To Die For,1995,8933,3.3843613567670436
45,45,How to Make an American Quilt,Drama|Romance,How to Make an American Quilt,1995,3205,3.2748829953198126
46,46,Seven (a.k.a. Se7en),Mystery|Thriller,Seven (a.k.a. Se7en),1995,43249,4.053492566302111
47,47,Pocahontas,Animation|Children|Drama|Musical|Romance,Pocahontas,1995,13046,2.9461137513414073
48,48,When Night Is Falling,Drama|Romance,When Night Is Falling,1995,236,3.5847457627118646
